source,feature,ctcf_motif_cosine,mean_activation,activation_frequency
mlp,31,0.08843702350173013,0.5694705247879028,0.5048828125
mlp,477,0.08645806630435812,0.5248280763626099,0.48974609375
mlp,175,0.08536369148230366,0.5379884243011475,0.50634765625
mlp,369,0.07817249342658163,0.5163827538490295,0.4775390625
mlp,321,0.07644486267630585,0.5200135111808777,0.49365234375
mlp,83,0.07459090109452284,0.4845340847969055,0.484375
mlp,445,0.07133904228329296,0.5279356241226196,0.482421875
mlp,210,0.06977211642446142,0.5191800594329834,0.48193359375
mlp,18,0.06784819468502723,0.4941284656524658,0.482421875
mlp,154,0.06657177222294773,0.5595611333847046,0.4990234375
mlp,353,0.06328838985441852,0.504490852355957,0.48876953125
mlp,402,0.06293670946466977,0.524316668510437,0.4892578125
mlp,110,0.06234300383260165,0.51429283618927,0.48583984375
mlp,141,0.061641791934772254,0.5304316282272339,0.4873046875
mlp,486,0.061270975682701,0.49541473388671875,0.45654296875
mlp,509,0.06031252020675169,0.5558398962020874,0.4912109375
mlp,342,0.05725289680439844,0.5313451290130615,0.49658203125
mlp,1,0.05686372013723175,0.5322669744491577,0.49853515625
mlp,221,0.05430451435075672,0.5090738534927368,0.49853515625
mlp,449,0.05362356322637398,0.5252434015274048,0.4833984375
mlp,462,0.05239873608951671,0.49443793296813965,0.501953125
mlp,510,0.05239568881637417,0.5420939922332764,0.48876953125
mlp,285,0.05205437767738494,0.4933099150657654,0.4814453125
mlp,96,0.051111529491539825,0.544715166091919,0.50244140625
mlp,36,0.05108084431588006,0.5300192832946777,0.4990234375
mlp,256,0.050198784720043035,0.509628415107727,0.5
mlp,201,0.048711984721737295,0.5188009738922119,0.4794921875
mlp,7,0.048146888805678675,0.5606979131698608,0.49560546875
mlp,26,0.04796253578527295,0.5243583917617798,0.49658203125
mlp,383,0.0478594049533567,0.5349699854850769,0.501953125
mlp,138,0.04779100478700308,0.5398255586624146,0.49365234375
mlp,473,0.04764253721578271,0.5574855804443359,0.48876953125
mlp,74,0.04741339604261688,0.5440284013748169,0.51123046875
mlp,268,0.04689181660288819,0.5578793287277222,0.48388671875
mlp,379,0.04647611050179759,0.5168017148971558,0.4775390625
mlp,192,0.04630189812273967,0.513883113861084,0.49658203125
mlp,356,0.04625763158775582,0.530502200126648,0.51025390625
mlp,470,0.04583739113596498,0.5297733545303345,0.47998046875
