layer,head,support_tokens,background_tokens,a_motif,a_bg,rho,passes_attention_enrichment
0,0,281915,281915,0.9942883410765174,0.9944942527484185,0.9997929483540684,False
0,1,281915,281915,1.000922202333947,1.001036066127551,0.9998862540547171,False
0,2,281915,281915,0.9998465300071985,0.9982204364657059,1.0016289924370312,False
0,3,281915,281915,0.9956994671821973,0.9962165174936598,0.9994809860081788,False
0,4,281915,281915,0.9831120086741104,0.9847027079862777,0.9983845892783008,False
0,5,281915,281915,0.972442053383188,0.9762543981959848,0.9960949268757799,False
0,6,281915,281915,1.0088425842781341,1.0072509364836824,1.0015801899375822,False
0,7,281915,281915,1.0045698223470372,0.9909515819897605,1.0137425890475216,False
0,8,281915,281915,0.9960545692724069,0.9960985057803382,0.999955891402631,False
0,9,281915,281915,0.9937414304404446,0.9947491441642359,0.9989869669858948,False
0,10,281915,281915,0.9997320238431884,0.9998346216800592,0.9998973851928648,False
0,11,281915,281915,1.0006101881121294,0.9977037303318657,1.002913147151707,False
1,0,281915,281915,1.0904131031909319,1.115579068984739,0.9774413428026129,False
1,1,281915,281915,0.7507326012941973,0.786112830632257,0.9549934462847985,False
1,2,281915,281915,1.010715579382255,1.0166929179233128,0.9941208024215739,False
1,3,281915,281915,0.9401402302382754,0.9509185258752219,0.9886653847373242,False
1,4,281915,281915,0.7561958328130273,0.7768924668642799,0.9733597184501105,False
1,5,281915,281915,0.9466890138200013,0.9534162222832057,0.9929441011113758,False
1,6,281915,281915,0.7966058759681517,0.8225590677894239,0.9684482332788333,False
1,7,281915,281915,1.0605010294880484,1.051243064521365,1.0088066835150997,False
1,8,281915,281915,1.0520323621964962,1.0316849848292446,1.0197224711675137,False
1,9,281915,281915,0.961607630755525,0.9661987809128454,0.9952482343716241,False
1,10,281915,281915,1.0247300226031593,1.0342747354232245,0.9907715885410664,False
1,11,281915,281915,0.8856150623047548,0.9324362955562504,0.9497861317983508,False
2,0,281915,281915,0.8597499219737348,0.8827263181078151,0.9739710987848059,False
2,1,281915,281915,0.8720900111609939,0.8976432685596967,0.9715329482281932,False
2,2,281915,281915,1.0137168925696542,1.0073566351157743,1.0063138090644024,False
2,3,281915,281915,1.0174708684800755,1.045402200000203,0.9732817364263036,False
2,4,281915,281915,1.0116079425645443,1.0066176770308104,1.00495745867334,False
2,5,281915,281915,0.9940642879557309,1.003726036834627,0.9903741175138132,False
2,6,281915,281915,0.944521645040177,0.9711730641343432,0.9725574976506149,False
2,7,281915,281915,1.0381706641520754,1.0258173421821475,1.0120424187250037,False
2,8,281915,281915,0.9708367754789512,0.977301378575136,0.9933852512255636,False
2,9,281915,281915,0.979971815765873,0.991895419601258,0.9879789707667181,False
2,10,281915,281915,0.7658755033833237,0.8445140987824707,0.9068830283443228,False
2,11,281915,281915,1.0260426055647247,1.0030801858143956,1.022891908418753,False
3,0,281915,281915,0.890974001344812,0.8901626667315419,1.000911445338692,False
3,1,281915,281915,0.8885793723640936,0.9047329420725374,0.9821454829848024,False
3,2,281915,281915,1.0312963284918086,0.9868824833918055,1.0450041882873,False
3,3,281915,281915,1.0537023164858423,1.0187331975207363,1.0343260816965711,False
3,4,281915,281915,0.6964889256802931,0.759665947048014,0.9168357860277658,False
3,5,281915,281915,0.8806195973451117,0.9097466575160211,0.9679833281823336,False
3,6,281915,281915,1.0658969317220564,1.0437286704175446,1.0212394867869667,False
3,7,281915,281915,0.8620300686096543,0.8685199595328653,0.9925276433178327,False
3,8,281915,281915,0.9546945201821071,0.9434844741312797,1.0118815373842258,False
3,9,281915,281915,0.8521766122775013,0.866635804624801,0.9833157223944149,False
3,10,281915,281915,0.924990314171759,0.9495443970849283,0.9741411955159237,False
3,11,281915,281915,0.9773702098163003,0.996968193037898,0.9803424187868222,False
4,0,281915,281915,0.9207753305605167,0.9324231571815788,0.9875080037090995,False
4,1,281915,281915,0.6721833507852281,0.7122994535722582,0.9436808457652978,False
4,2,281915,281915,0.32846823984709494,0.37618046263527366,0.8731666646004469,False
4,3,281915,281915,0.2004531809760049,0.2764506672918431,0.7250956669400647,False
4,4,281915,281915,0.7680025749022134,0.8274721333539765,0.9281310438688535,False
4,5,281915,281915,0.8304145898568356,0.793026395172416,1.0471462172154948,False
4,6,281915,281915,1.059944080292523,1.0785290923009243,0.9827681866524786,False
4,7,281915,281915,0.6452722600733114,0.5499705491420865,1.1732851169574234,False
4,8,281915,281915,0.9728411533446351,0.9807169539124296,0.9919693439209191,False
4,9,281915,281915,0.9400951302368343,0.8961358924031343,1.0490542095304498,False
4,10,281915,281915,0.8917863728316172,0.9417567763564406,0.946939162234485,False
4,11,281915,281915,0.346962127347278,0.4088359607580532,0.8486585345964912,False
5,0,281915,281915,0.9850404949257137,0.9438909306736579,1.0435956771220243,False
5,1,281915,281915,0.9323349315408388,0.948315837935015,0.9831481182166323,False
5,2,281915,281915,0.48129957946628305,0.49653065022076365,0.9693250139790793,False
5,3,281915,281915,0.13153633383528532,0.23994822091729218,0.5481863267518229,False
5,4,281915,281915,0.23552591690706284,0.3164337332498886,0.7443135549681341,False
5,5,281915,281915,0.8766889184981197,0.8203644958415153,1.0686578014310917,False
5,6,281915,281915,0.7244074028920907,0.7502923512931378,0.9655001835532055,False
5,7,281915,281915,0.53976191261726,0.5130059871424695,1.0521551914507383,False
5,8,281915,281915,0.9441593890498773,0.9495638272074819,0.9943085045967913,False
5,9,281915,281915,0.8602985153273327,0.8413407247039939,1.0225328336863864,False
5,10,281915,281915,0.6433077868085058,0.651375966992946,0.9876136354528297,False
5,11,281915,281915,0.9118648720551575,0.9249276654657509,0.9858769567628669,False
6,0,281915,281915,0.9889453515824551,0.9866001886756953,1.0023770144519308,False
6,1,281915,281915,0.1304963648545574,0.23353022872128715,0.5587985999461412,False
6,2,281915,281915,0.9025544207125722,0.8703462246640945,1.0370061880384536,False
6,3,281915,281915,0.9832332927066516,0.7488169144959224,1.3130489892426245,False
6,4,281915,281915,0.6073352917508166,0.6502311967929163,0.9340297647149632,False
6,5,281915,281915,0.6088149616760604,0.6262580700433844,0.9721470920668286,False
6,6,281915,281915,0.738673078585914,0.699340299693215,1.0562426888740053,False
6,7,281915,281915,0.87817901248339,0.9270707287995175,0.9472621507752291,False
6,8,281915,281915,0.9284365339185493,0.9405972551929495,0.9870712770983947,False
6,9,281915,281915,0.982513636596849,0.9102439845903034,1.079395912777247,False
6,10,281915,281915,0.2601269460096706,0.3070163577025601,0.8472738975741602,False
6,11,281915,281915,0.5344844698189413,0.5378002375667663,0.9938345736646994,False
7,0,281915,281915,0.5529528999856692,0.6279133960806499,0.8806196896532644,False
7,1,281915,281915,0.2614767815489121,0.33819186050086264,0.7731610724210352,False
7,2,281915,281915,1.0297497659963533,1.0120300878218425,1.017509042851333,False
7,3,281915,281915,0.6062354509840593,0.6325522312110562,0.9583958779552292,False
7,4,281915,281915,0.2023012874728935,0.2785092579457264,0.7263718591082394,False
7,5,281915,281915,0.7423796061669092,0.7722723780788592,0.9612924497101494,False
7,6,281915,281915,0.7656675528070058,0.7097567769371654,1.0787745572661016,False
7,7,281915,281915,0.6991703315246968,0.6938986379204549,1.0075972099037989,False
7,8,281915,281915,0.7666470995585788,0.7589196584036597,1.0101821596915452,False
7,9,281915,281915,0.5754067745972552,0.5875744599034776,0.9792916708663253,False
7,10,281915,281915,0.4980739345824216,0.5756130267873796,0.8652930204903103,False
7,11,281915,281915,0.5635082778816675,0.6235356282707937,0.9037306808664716,False
8,0,281915,281915,0.9308022531163589,0.9122969913973418,1.0202842516127046,False
8,1,281915,281915,1.0657163725478878,1.0312368723979164,1.0334350924339981,False
8,2,281915,281915,0.8507290085885063,0.8327027035887077,1.0216479482078182,False
8,3,281915,281915,0.6446875481727724,0.6138124987427201,1.0503004573763064,False
8,4,281915,281915,0.5653550847679384,0.5900343225044353,0.958173216717725,False
8,5,281915,281915,0.5718482073626644,0.5356892751264525,1.0674998248334846,False
8,6,281915,281915,0.8304847378784974,0.8777979237780928,0.9461001392029309,False
8,7,281915,281915,0.3400327577845353,0.3820581141593428,0.8900027121076134,False
8,8,281915,281915,0.9911967744157345,1.0087765141338576,0.9825732067788898,False
8,9,281915,281915,0.9945534359885309,1.0016745531530349,0.9928907875895535,False
8,10,281915,281915,1.1261313808402276,1.069466929336007,1.0529838276901198,False
8,11,281915,281915,0.34439378433394396,0.41096478041356355,0.8380128924609364,False
9,0,281915,281915,0.8122054219092483,0.788101571058781,1.0305847009264109,False
9,1,281915,281915,1.0573388242533748,1.0259285916695804,1.0306163926406202,False
9,2,281915,281915,1.0603038990450713,1.0224527422225973,1.0370199572649133,False
9,3,281915,281915,0.6901368540915779,0.6909431408989596,0.9988330634466785,False
9,4,281915,281915,0.619953193340785,0.6374598397870906,0.9725368637306583,False
9,5,281915,281915,0.4156566196976296,0.4951256149235964,0.8394973056721581,False
9,6,281915,281915,0.9489846493988573,0.9461489845513095,1.0029970595475433,False
9,7,281915,281915,0.5894642486325685,0.6227351001641596,0.946573026760784,False
9,8,281915,281915,1.0010704859457231,1.0027918043710948,0.9982834737800323,False
9,9,281915,281915,1.0630794502955805,1.0464218534532672,1.0159186247757939,False
9,10,281915,281915,1.0694715386477887,1.0642353752215419,1.0049201178124312,False
9,11,281915,281915,0.583559987239675,0.5856741256903962,0.99639024782215,False
10,0,281915,281915,0.9430052830300674,0.9690287896478895,0.9731447539063538,False
10,1,281915,281915,0.765339424781639,0.7722425052962861,0.9910609938363873,False
10,2,281915,281915,0.9396552541678135,0.928299108475039,1.012233282989391,False
