layer,head,restoration,task,pairs,denominator_failures
0,0,0.7783119494687308,promoter_tata,327,0
0,1,-0.121370320129345,promoter_tata,327,0
0,2,0.0652987549047711,promoter_tata,327,0
0,3,0.1508756782536455,promoter_tata,327,0
0,4,-0.0293504885213772,promoter_tata,327,0
0,5,-0.2164256585971933,promoter_tata,327,0
0,6,-0.0058847194675669,promoter_tata,327,0
0,7,0.3633513147340875,promoter_tata,327,0
0,8,0.9402614249435448,promoter_tata,327,0
0,9,0.0717318466102918,promoter_tata,327,0
0,10,-0.030597400004538,promoter_tata,327,0
0,11,-0.0500596757636637,promoter_tata,327,0
1,0,1.1130317340577904,promoter_tata,327,0
1,1,0.1904381676384119,promoter_tata,327,0
1,2,0.2877018542766955,promoter_tata,327,0
1,3,0.0330388996802586,promoter_tata,327,0
1,4,0.1427006922541454,promoter_tata,327,0
1,5,0.3787723020055673,promoter_tata,327,0
1,6,-0.0195281457617062,promoter_tata,327,0
1,7,0.6335921041041576,promoter_tata,327,0
1,8,-0.0029496397462301,promoter_tata,327,0
1,9,-0.008998696357535,promoter_tata,327,0
1,10,0.993074398265018,promoter_tata,327,0
1,11,0.0968740421935001,promoter_tata,327,0
2,0,0.1550162290180629,promoter_tata,327,0
2,1,0.460078503586703,promoter_tata,327,0
2,2,0.3290593212439254,promoter_tata,327,0
2,3,0.3249981555994552,promoter_tata,327,0
2,4,0.3496601703650579,promoter_tata,327,0
2,5,-0.2990922738752891,promoter_tata,327,0
2,6,-0.4321272237164034,promoter_tata,327,0
2,7,1.3641587999731368,promoter_tata,327,0
2,8,-0.4374691478764023,promoter_tata,327,0
2,9,0.4581429140252542,promoter_tata,327,0
2,10,0.3455064250004985,promoter_tata,327,0
2,11,0.0797907507701601,promoter_tata,327,0
3,0,-0.1506447695665132,promoter_tata,327,0
3,1,1.214960589909801,promoter_tata,327,0
3,2,1.1480684163885342,promoter_tata,327,0
3,3,0.4046849154048677,promoter_tata,327,0
3,4,0.248038222652023,promoter_tata,327,0
3,5,-0.1153517349393229,promoter_tata,327,0
3,6,-0.0960150757551441,promoter_tata,327,0
3,7,0.8446998034070036,promoter_tata,327,0
3,8,-0.3329765984789209,promoter_tata,327,0
3,9,0.7252696283177096,promoter_tata,327,0
3,10,0.0618810571402925,promoter_tata,327,0
3,11,-0.1812735729446185,promoter_tata,327,0
4,0,1.3171404920064202,promoter_tata,327,0
4,1,0.6314907799273368,promoter_tata,327,0
4,2,-0.2957717259583139,promoter_tata,327,0
4,3,0.165353912053921,promoter_tata,327,0
4,4,1.089250252335936,promoter_tata,327,0
4,5,0.9127293523437668,promoter_tata,327,0
4,6,-0.2581168533259525,promoter_tata,327,0
4,7,0.10101319156288,promoter_tata,327,0
4,8,1.4028715758042842,promoter_tata,327,0
4,9,0.2406328401100695,promoter_tata,327,0
4,10,1.2421410607839234,promoter_tata,327,0
4,11,0.0545854525093307,promoter_tata,327,0
5,0,0.072669750990435,promoter_tata,327,0
5,1,0.444658570330793,promoter_tata,327,0
5,2,-0.2532029589067596,promoter_tata,327,0
5,3,-0.2051673106193704,promoter_tata,327,0
5,4,0.1432071625808554,promoter_tata,327,0
5,5,0.1312706787540402,promoter_tata,327,0
5,6,-0.0997420322739247,promoter_tata,327,0
5,7,0.3297686426308073,promoter_tata,327,0
5,8,0.592288309903781,promoter_tata,327,0
5,9,0.0758766542970862,promoter_tata,327,0
5,10,0.2827279386569279,promoter_tata,327,0
5,11,-0.3565020429047011,promoter_tata,327,0
6,0,0.1538159406902886,promoter_tata,327,0
6,1,0.037363150302404,promoter_tata,327,0
6,2,0.7753903190819136,promoter_tata,327,0
6,3,-0.1125408276862483,promoter_tata,327,0
6,4,0.2985580125435928,promoter_tata,327,0
6,5,0.0741415697023923,promoter_tata,327,0
6,6,0.0366643706521588,promoter_tata,327,0
6,7,-0.2243864493619121,promoter_tata,327,0
6,8,1.3790819890006054,promoter_tata,327,0
6,9,-0.2206262227670386,promoter_tata,327,0
6,10,0.1025691734040209,promoter_tata,327,0
6,11,-0.1363620987629554,promoter_tata,327,0
7,0,0.2375105711108604,promoter_tata,327,0
7,1,-0.0474915220815264,promoter_tata,327,0
7,2,1.0884373045773024,promoter_tata,327,0
7,3,-0.0170411162937838,promoter_tata,327,0
7,4,-0.0003293838331875,promoter_tata,327,0
7,5,0.3774550316708805,promoter_tata,327,0
7,6,-0.0129005688564129,promoter_tata,327,0
7,7,-0.0003265235739195,promoter_tata,327,0
7,8,-0.5104302334523464,promoter_tata,327,0
7,9,-0.2100298149812463,promoter_tata,327,0
7,10,0.3052512993160602,promoter_tata,327,0
7,11,0.0229279430523968,promoter_tata,327,0
8,0,-0.0107548598910647,promoter_tata,327,0
8,1,0.0422523249672416,promoter_tata,327,0
8,2,0.0540980574460452,promoter_tata,327,0
8,3,0.000162356889354,promoter_tata,327,0
8,4,0.0028516266163145,promoter_tata,327,0
8,5,0.0057149697949328,promoter_tata,327,0
8,6,-0.0567990923006753,promoter_tata,327,0
8,7,0.002556461689086,promoter_tata,327,0
8,8,0.1281895086404822,promoter_tata,327,0
8,9,-0.2737866202657687,promoter_tata,327,0
8,10,0.2074567389274854,promoter_tata,327,0
8,11,0.014221286891754,promoter_tata,327,0
9,0,0.0606927066990843,promoter_tata,327,0
9,1,0.0187144932678262,promoter_tata,327,0
9,2,0.0432688679649918,promoter_tata,327,0
9,3,-0.0724464508969877,promoter_tata,327,0
9,4,0.042788528705481,promoter_tata,327,0
9,5,-0.0112014469581372,promoter_tata,327,0
9,6,0.1574995779150592,promoter_tata,327,0
9,7,-0.0281310595920659,promoter_tata,327,0
9,8,-0.0980631494985656,promoter_tata,327,0
9,9,0.000331380928477,promoter_tata,327,0
9,10,0.1444703913206091,promoter_tata,327,0
9,11,-0.0213546259768239,promoter_tata,327,0
10,0,-0.0655772788220821,promoter_tata,327,0
10,1,0.1246763616083949,promoter_tata,327,0
10,2,-0.0798115568577809,promoter_tata,327,0
10,3,0.045242751115242,promoter_tata,327,0
10,4,0.0144660199908251,promoter_tata,327,0
10,5,-0.0413686440276178,promoter_tata,327,0
10,6,0.3373594004192193,promoter_tata,327,0
10,7,0.215085397629315,promoter_tata,327,0
10,8,-0.2609548452994596,promoter_tata,327,0
10,9,0.0201414473600902,promoter_tata,327,0
10,10,-0.1651283158071075,promoter_tata,327,0
10,11,0.1093104714131708,promoter_tata,327,0
11,0,-0.6899880110058308,promoter_tata,327,0
11,1,-0.0725618184531883,promoter_tata,327,0
11,2,-0.0438064421188522,promoter_tata,327,0
11,3,-0.2339741826969781,promoter_tata,327,0
11,4,0.2134115603280981,promoter_tata,327,0
11,5,0.3453836351665346,promoter_tata,327,0
11,6,0.2715001517774155,promoter_tata,327,0
11,7,-0.1718701455232402,promoter_tata,327,0
11,8,-0.2404211166418648,promoter_tata,327,0
11,9,-0.5433100065163242,promoter_tata,327,0
11,10,-0.0178056271020781,promoter_tata,327,0
11,11,0.2992430798408357,promoter_tata,327,0
