layer,head,restoration,task,pairs,denominator_failures
0,0,-0.0373015022301438,splice_sites_donors,13303,0
0,1,0.0143495614239454,splice_sites_donors,13303,0
0,2,0.0050352863589669,splice_sites_donors,13303,0
0,3,-0.0031817488311473,splice_sites_donors,13303,0
0,4,-0.0024421966249456,splice_sites_donors,13303,0
0,5,-0.0089376552629031,splice_sites_donors,13303,0
0,6,0.007411724594256,splice_sites_donors,13303,0
0,7,0.0022114327507588,splice_sites_donors,13303,0
0,8,-0.2525613092536458,splice_sites_donors,13303,0
0,9,-0.0010948138342485,splice_sites_donors,13303,0
0,10,0.0019083779845064,splice_sites_donors,13303,0
0,11,0.0046734102760972,splice_sites_donors,13303,0
1,0,0.0189678638481796,splice_sites_donors,13303,0
1,1,0.0038916353068348,splice_sites_donors,13303,0
1,2,0.0121498420923414,splice_sites_donors,13303,0
1,3,-0.0161334010598956,splice_sites_donors,13303,0
1,4,0.0045101416779462,splice_sites_donors,13303,0
1,5,-0.0058409466868688,splice_sites_donors,13303,0
1,6,0.0081148919517816,splice_sites_donors,13303,0
1,7,-0.0273980523971151,splice_sites_donors,13303,0
1,8,0.0022612458597708,splice_sites_donors,13303,0
1,9,-0.0009541858292909,splice_sites_donors,13303,0
1,10,0.0959356376329049,splice_sites_donors,13303,0
1,11,0.025512840739853,splice_sites_donors,13303,0
2,0,-0.0580756534030902,splice_sites_donors,13303,0
2,1,0.0624593307028265,splice_sites_donors,13303,0
2,2,0.1048504057728381,splice_sites_donors,13303,0
2,3,0.0098670596458213,splice_sites_donors,13303,0
2,4,-0.0110634615076057,splice_sites_donors,13303,0
2,5,-0.0048283925488691,splice_sites_donors,13303,0
2,6,0.0708228552286763,splice_sites_donors,13303,0
2,7,-0.0786036095282801,splice_sites_donors,13303,0
2,8,0.0897031179644313,splice_sites_donors,13303,0
2,9,0.0205578722748379,splice_sites_donors,13303,0
2,10,-0.0613541094570975,splice_sites_donors,13303,0
2,11,0.0156031316861432,splice_sites_donors,13303,0
3,0,0.0011377023490398,splice_sites_donors,13303,0
3,1,-0.0249123549024597,splice_sites_donors,13303,0
3,2,0.0284304772438434,splice_sites_donors,13303,0
3,3,0.0454063148827419,splice_sites_donors,13303,0
3,4,0.0186637572170782,splice_sites_donors,13303,0
3,5,0.0127478490205922,splice_sites_donors,13303,0
3,6,-0.0840287187279734,splice_sites_donors,13303,0
3,7,0.0261070927198711,splice_sites_donors,13303,0
3,8,0.0225671639217973,splice_sites_donors,13303,0
3,9,0.079739897312798,splice_sites_donors,13303,0
3,10,0.0473894487592247,splice_sites_donors,13303,0
3,11,0.0151895278903174,splice_sites_donors,13303,0
4,0,-0.0087572553606522,splice_sites_donors,13303,0
4,1,0.0118535036870665,splice_sites_donors,13303,0
4,2,0.0253947088764371,splice_sites_donors,13303,0
4,3,0.0272301035591623,splice_sites_donors,13303,0
4,4,0.0166535327974685,splice_sites_donors,13303,0
4,5,-0.0118640753072627,splice_sites_donors,13303,0
4,6,-0.0767077965099199,splice_sites_donors,13303,0
4,7,0.0007982839532526,splice_sites_donors,13303,0
4,8,0.0038090099542538,splice_sites_donors,13303,0
4,9,0.1162785916728314,splice_sites_donors,13303,0
4,10,0.0170840516157317,splice_sites_donors,13303,0
4,11,0.0270712583184797,splice_sites_donors,13303,0
5,0,0.0169131870249883,splice_sites_donors,13303,0
5,1,-0.027042292201084,splice_sites_donors,13303,0
5,2,0.0064129617107558,splice_sites_donors,13303,0
5,3,-0.0113479200011175,splice_sites_donors,13303,0
5,4,0.0265699254926245,splice_sites_donors,13303,0
5,5,-0.0382763368706242,splice_sites_donors,13303,0
5,6,-0.0107732940101353,splice_sites_donors,13303,0
5,7,0.0033454653615824,splice_sites_donors,13303,0
5,8,0.0128363233778133,splice_sites_donors,13303,0
5,9,0.0075907088235673,splice_sites_donors,13303,0
5,10,0.0282477013949501,splice_sites_donors,13303,0
5,11,-0.0113432254978063,splice_sites_donors,13303,0
6,0,-0.0027019087808823,splice_sites_donors,13303,0
6,1,0.0135054106559773,splice_sites_donors,13303,0
6,2,-0.0067993361241074,splice_sites_donors,13303,0
6,3,0.0023183818617114,splice_sites_donors,13303,0
6,4,0.0595139868387223,splice_sites_donors,13303,0
6,5,-0.0316804207525241,splice_sites_donors,13303,0
6,6,0.0018644120593404,splice_sites_donors,13303,0
6,7,0.0910148618340549,splice_sites_donors,13303,0
6,8,0.0215160670566749,splice_sites_donors,13303,0
6,9,0.0235477537568299,splice_sites_donors,13303,0
6,10,-0.0018473943704067,splice_sites_donors,13303,0
6,11,0.0154403174720442,splice_sites_donors,13303,0
7,0,0.1657470605000487,splice_sites_donors,13303,0
7,1,-0.0165565707397026,splice_sites_donors,13303,0
7,2,-0.0295309749576291,splice_sites_donors,13303,0
7,3,0.0005507795167298,splice_sites_donors,13303,0
7,4,-0.0027636712171964,splice_sites_donors,13303,0
7,5,-0.0211244337099187,splice_sites_donors,13303,0
7,6,0.0160838975168325,splice_sites_donors,13303,0
7,7,0.0059932813981913,splice_sites_donors,13303,0
7,8,-0.0408758124999625,splice_sites_donors,13303,0
7,9,-0.1150261594549796,splice_sites_donors,13303,0
7,10,0.1468601832619125,splice_sites_donors,13303,0
7,11,0.017632768091901,splice_sites_donors,13303,0
8,0,0.0409300736749868,splice_sites_donors,13303,0
8,1,-0.0220906368419095,splice_sites_donors,13303,0
8,2,0.0008075930596855,splice_sites_donors,13303,0
8,3,0.0034501809308753,splice_sites_donors,13303,0
8,4,-0.006261211104938,splice_sites_donors,13303,0
8,5,-0.0028342430841447,splice_sites_donors,13303,0
8,6,0.0046680582988238,splice_sites_donors,13303,0
8,7,0.0233255466327684,splice_sites_donors,13303,0
8,8,0.0151888128102751,splice_sites_donors,13303,0
8,9,0.013273606346454,splice_sites_donors,13303,0
8,10,0.0015293630131037,splice_sites_donors,13303,0
8,11,0.0454527883712218,splice_sites_donors,13303,0
9,0,-0.0177053683479673,splice_sites_donors,13303,0
9,1,0.0158124935865315,splice_sites_donors,13303,0
9,2,-0.0025122282125405,splice_sites_donors,13303,0
9,3,-0.0113905384334066,splice_sites_donors,13303,0
9,4,0.0100113532050432,splice_sites_donors,13303,0
9,5,0.0034368109198377,splice_sites_donors,13303,0
9,6,-0.0049666313083211,splice_sites_donors,13303,0
9,7,0.0047545042115347,splice_sites_donors,13303,0
9,8,0.0120802660228786,splice_sites_donors,13303,0
9,9,0.0039938266609739,splice_sites_donors,13303,0
9,10,-0.0143549331292692,splice_sites_donors,13303,0
9,11,0.0123995982666131,splice_sites_donors,13303,0
10,0,0.0074553595129809,splice_sites_donors,13303,0
10,1,-0.0084675396713414,splice_sites_donors,13303,0
10,2,-0.0782547626696398,splice_sites_donors,13303,0
10,3,0.0050344666611934,splice_sites_donors,13303,0
10,4,-0.0611198097058096,splice_sites_donors,13303,0
10,5,0.0179476284734662,splice_sites_donors,13303,0
